,"linear, 95%","linear, 99%"
R0,3.3607045198119407,3.424778768225025
E_time,1.981626217037429,1.980258399968118
inital_prev_mult,1.0431161284721904,1.0463258635935317
daily_self_report_prob,0.3485817745045651,0.34773175664130246
ID_time,3.084055545161446,3.0903129723704357
ct_testing_ratio,0.8664717001496393,0.8565313254242246
test_noncompliance,0.10433806590449674,0.10466100868683252
asymp_prob_mult,1.127736128301226,1.1372453108693465
ct_mult,1.3457801972950327,1.3342994652653066
outside_inf_mult,1.020257217577652,1.0217652449684134
Sy_time,11.997870376266063,11.997711838652963
test_sensitivity,0.5337362159732177,0.5288032778268599
