Date,Counts
8/16/2020,0
8/17/2020,0
8/18/2020,2
8/19/2020,3
8/20/2020,4
8/21/2020,4
8/22/2020,4
8/23/2020,4
8/24/2020,5
8/25/2020,7
8/26/2020,7
8/27/2020,8
8/28/2020,17
8/29/2020,19
8/30/2020,20
8/31/2020,25
9/1/2020,32
9/2/2020,44
9/3/2020,56
9/4/2020,69
9/5/2020,75
9/6/2020,80
9/7/2020,86
9/8/2020,89
9/9/2020,102
9/10/2020,107
9/11/2020,111
9/12/2020,114
9/13/2020,114
9/14/2020,114
9/15/2020,114
9/16/2020,115
9/17/2020,115
9/18/2020,115
9/19/2020,115
9/20/2020,115
9/21/2020,117
9/22/2020,118
9/23/2020,119
9/24/2020,119
9/25/2020,120
9/26/2020,120
9/27/2020,120
9/28/2020,121
9/29/2020,122
9/30/2020,122
10/1/2020,122
10/2/2020,124
10/3/2020,124
10/4/2020,124
10/5/2020,126
10/6/2020,127
10/7/2020,128
10/8/2020,128
10/9/2020,129
10/10/2020,130
10/11/2020,130
10/12/2020,130
10/13/2020,130
10/14/2020,132
10/15/2020,135
10/16/2020,136
10/17/2020,137
10/18/2020,138
10/19/2020,141
10/20/2020,141
10/21/2020,145
10/22/2020,146
10/23/2020,148
10/24/2020,148
10/25/2020,148
10/26/2020,148
10/27/2020,148
10/28/2020,151
10/29/2020,153
10/30/2020,158
10/31/2020,159
11/1/2020,160
11/2/2020,161
11/3/2020,163
11/4/2020,169
11/5/2020,171
11/6/2020,174
11/7/2020,175
11/8/2020,176
11/9/2020,178
11/10/2020,178
11/11/2020,184
11/12/2020,198
11/13/2020,208
11/14/2020,214
11/15/2020,216
11/16/2020,222
11/17/2020,223
11/18/2020,223
11/19/2020,225
11/20/2020,237
11/21/2020,239
11/22/2020,241
11/23/2020,246
11/24/2020,249
11/25/2020,254
11/26/2020,259
11/27/2020,260
11/28/2020,260
11/29/2020,264
11/30/2020,270
12/1/2020,281
12/2/2020,286
12/3/2020,294
12/4/2020,299
12/5/2020,303
12/6/2020,309
12/7/2020,317
12/8/2020,325
12/9/2020,328
12/10/2020,331
12/11/2020,340
