,transmission_p,score
0,0.0025,4.4212393961942835
1,0.005,4.377592122725157
2,0.0075,4.319410129690589
3,0.01,4.174787481474581
4,0.0125,3.9808056636909845
5,0.015,3.333723302132912
6,0.0175,4.192880471835577
7,0.018,4.485051532702606
8,0.02,5.397187897388286
9,0.0225,6.719922130026698
10,0.025,7.375050914129311
11,0.0275,7.7747786036335995
12,0.03,7.873735385845582
13,0.0325,8.05090555411624
14,0.035,8.145676210490445
15,0.0375,8.169401209364505
16,0.04,8.234846511636567
17,0.0425,8.303276718488332
18,0.045,8.290658559484216
19,0.0475,8.320643688511048
20,0.05,8.400945773569003
