,inputs,RMSE
0,0.2,4257.060972564356
1,0.20500000000000002,4183.3920356633635
2,0.21000000000000002,4118.944084267327
3,0.21500000000000002,4114.5875951287135
4,0.22000000000000003,4004.727612831684
5,0.22500000000000003,3960.166766514848
6,0.23000000000000004,3952.3745599702966
7,0.23500000000000004,3916.3824212574245
8,0.24000000000000005,3942.031291326735
9,0.24500000000000005,3725.691042287127
10,0.25000000000000006,3735.223340257426
11,0.25500000000000006,3646.137025841585
12,0.26000000000000006,3628.1984512673266
13,0.26500000000000007,3527.0147231980186
14,0.2700000000000001,3535.877668920794
15,0.2750000000000001,3470.190411693069
16,0.2800000000000001,3393.2825954158398
17,0.2850000000000001,3282.290778891088
18,0.2900000000000001,3261.333333831683
19,0.2950000000000001,3141.402656009901
20,0.3000000000000001,3130.2950591089098
21,0.3050000000000001,3084.3721083366345
22,0.3100000000000001,2967.274447019803
23,0.3150000000000001,2838.5531146831686
24,0.3200000000000001,2911.676893247526
25,0.3250000000000001,2855.9456809009894
26,0.3300000000000001,2754.1128863267345
27,0.33500000000000013,2692.5645231980175
28,0.34000000000000014,2602.963568435645
29,0.34500000000000014,2570.9366891683153
30,0.35000000000000014,2504.0800464554445
31,0.35500000000000015,2343.0416948118814
32,0.36000000000000015,2460.757269603963
33,0.36500000000000016,2217.0064270594053
34,0.37000000000000016,2122.089142772279
35,0.37500000000000017,2097.0252278712874
36,0.38000000000000017,2014.4701677425753
37,0.3850000000000002,2008.5351779009895
38,0.3900000000000002,1814.0166245346534
39,0.3950000000000002,1723.66464850495
40,0.4000000000000002,1742.450612544555
41,0.4050000000000002,1599.6518409999987
42,0.4100000000000002,1454.6080196930689
43,0.4150000000000002,1444.8823737029702
44,0.4200000000000002,1380.9624421584144
45,0.4250000000000002,1350.528434683168
46,0.4300000000000002,1226.2704310495042
47,0.4350000000000002,1242.8196439504952
48,0.4400000000000002,1073.009440188119
49,0.44500000000000023,982.3276592376237
50,0.45000000000000023,836.5874496831682
51,0.45500000000000024,872.9961659504954
52,0.46000000000000024,658.1448784059411
53,0.46500000000000025,746.3918083366336
54,0.47000000000000025,632.0853863465347
55,0.47500000000000026,541.0884663861386
56,0.48000000000000026,461.26926930693065
57,0.48500000000000026,454.35383137623774
58,0.49000000000000027,407.22464090099027
59,0.4950000000000003,303.11446038613843
60,0.5000000000000002,345.5915508118809
61,0.5050000000000003,204.12428600990108
62,0.5100000000000002,184.02286292079222
63,0.5150000000000003,155.6650606039603
64,0.5200000000000002,126.22556361386131
65,0.5250000000000004,97.64224993069298
66,0.5300000000000002,101.8052787821781
67,0.5350000000000004,101.09304462376242
68,0.5400000000000003,107.70791607920795
69,0.5450000000000004,153.69910905940588
70,0.5500000000000003,125.41782313861385
71,0.5550000000000004,239.83560832673274
72,0.5600000000000003,265.7105689603961
73,0.5650000000000004,364.5370730990099
74,0.5700000000000003,467.6955347425744
75,0.5750000000000004,741.2980287722773
76,0.5800000000000003,929.1102998316835
77,0.5850000000000004,976.2242316237625
78,0.5900000000000003,1419.2126108217822
79,0.5950000000000004,1769.9392263168315
