,Nominal,Pessimistic
0,7.0,7.0
1,47.0,58.0
2,129.0,166.0
3,236.0,337.0
4,369.0,610.0
5,529.0,1015.0
6,703.0,1559.0
7,886.0,2271.0
8,1064.0,3130.0
9,1238.0,4055.0
10,1400.0,4730.0
11,1547.0,5222.0
12,1687.0,5763.0
13,1809.0,6328.0
14,1915.0,6875.0
15,2004.0,7361.0
16,2085.0,7781.0
17,2155.0,8123.0
18,2218.0,8394.0
19,2269.0,8611.0
20,2315.0,8781.0
21,2350.0,8919.0
22,2384.0,9021.0
23,2412.0,9113.0
24,2435.0,9188.0
25,2456.0,9254.0
26,2473.0,9306.0
27,2489.0,9350.0
28,2502.0,9386.0
29,2514.0,9416.0
30,2524.0,9438.0
31,2532.0,9456.0
32,2539.0,9471.0
33,2545.0,9482.0
34,2551.0,9490.0
35,2556.0,9496.0
36,2561.0,9501.0
37,2564.0,9505.0
38,2567.0,9509.0
39,2570.0,9512.0
40,2572.0,9514.0
41,2574.0,9516.0
42,2576.0,9518.0
43,2578.0,9520.0
44,2580.0,9521.0
45,2581.0,9522.0
46,2582.0,9524.0
47,2582.0,9525.0
48,2584.0,9525.0
49,2586.0,9526.0
50,2588.0,9527.0
51,2590.0,9528.0
52,2592.0,9528.0
53,2594.0,9529.0
54,2596.0,9530.0
55,2598.0,9530.0
56,2600.0,9531.0
57,2602.0,9531.0
58,2604.0,9532.0
59,2606.0,9532.0
60,2608.0,9533.0
61,2610.0,9534.0
62,2611.0,9534.0
63,2613.0,9534.0
64,2614.0,9535.0
65,2615.0,9535.0
66,2616.0,9536.0
67,2617.0,9536.0
68,2618.0,9537.0
69,2620.0,9537.0
70,2621.0,9538.0
71,2621.0,9538.0
72,2622.0,9538.0
73,2623.0,9539.0
74,2624.0,9539.0
75,2625.0,9539.0
76,2627.0,9540.0
77,2628.0,9540.0
78,2629.0,9540.0
79,2630.0,9541.0
80,2632.0,9541.0
81,2633.0,9541.0
82,2634.0,9542.0
83,2635.0,9542.0
84,2637.0,9542.0
85,2639.0,9543.0
86,2641.0,9543.0
87,2643.0,9543.0
88,2645.0,9544.0
89,2646.0,9544.0
90,2648.0,9544.0
91,2649.0,9545.0
92,2650.0,9545.0
93,2651.0,9546.0
94,2652.0,9546.0
95,2653.0,9547.0
96,2654.0,9547.0
97,2656.0,9548.0
98,2658.0,9548.0
99,2659.0,9549.0
100,2661.0,9549.0
101,2662.0,9550.0
102,2663.0,9550.0
103,2664.0,9550.0
104,2665.0,9550.0
105,2667.0,9551.0
106,2669.0,9551.0
107,2670.0,9551.0
108,2671.0,9551.0
109,2672.0,9552.0
110,2673.0,9552.0
111,2674.0,9552.0
112,2676.0,9553.0
